location,date,new_cases,population,population_density
France,07-05-20,4183,65273512,122.578
France,08-05-20,629,65273512,122.578
France,09-05-20,642,65273512,122.578
France,10-05-20,433,65273512,122.578
France,11-05-20,209,65273512,122.578
France,12-05-20,456,65273512,122.578
France,13-05-20,708,65273512,122.578
France,14-05-20,507,65273512,122.578
France,15-05-20,622,65273512,122.578
France,16-05-20,563,65273512,122.578
France,17-05-20,372,65273512,122.578
France,18-05-20,120,65273512,122.578
France,19-05-20,492,65273512,122.578
France,20-05-20,524,65273512,122.578
France,21-05-20,418,65273512,122.578
France,22-05-20,318,65273512,122.578
France,23-05-20,403,65273512,122.578
France,24-05-20,240,65273512,122.578
France,25-05-20,115,65273512,122.578
France,26-05-20,358,65273512,122.578
France,27-05-20,276,65273512,122.578
France,28-05-20,191,65273512,122.578
France,29-05-20,3325,65273512,122.578
France,30-05-20,597,65273512,122.578
France,31-05-20,1828,65273512,122.578
France,01-06-20,257,65273512,122.578
France,02-06-20,338,65273512,122.578
France,03-06-20,-766,65273512,122.578
France,04-06-20,352,65273512,122.578
France,05-06-20,767,65273512,122.578
France,06-06-20,611,65273512,122.578
France,07-06-20,579,65273512,122.578
France,08-06-20,343,65273512,122.578
France,09-06-20,211,65273512,122.578
France,10-06-20,403,65273512,122.578
France,11-06-20,545,65273512,122.578
France,12-06-20,425,65273512,122.578
France,13-06-20,726,65273512,122.578
France,14-06-20,526,65273512,122.578
France,15-06-20,407,65273512,122.578
France,16-06-20,152,65273512,122.578
France,17-06-20,344,65273512,122.578
France,18-06-20,458,65273512,122.578
France,19-06-20,467,65273512,122.578
France,20-06-20,811,65273512,122.578
France,21-06-20,641,65273512,122.578
France,22-06-20,284,65273512,122.578
France,23-06-20,373,65273512,122.578
France,24-06-20,517,65273512,122.578
France,25-06-20,81,65273512,122.578
France,26-06-20,0,65273512,122.578
France,27-06-20,1588,65273512,122.578
France,28-06-20,0,65273512,122.578
France,29-06-20,0,65273512,122.578
France,30-06-20,1324,65273512,122.578
France,01-07-20,541,65273512,122.578
France,02-07-20,918,65273512,122.578
France,03-07-20,659,65273512,122.578
France,04-07-20,582,65273512,122.578
France,05-07-20,0,65273512,122.578
France,06-07-20,0,65273512,122.578
France,07-07-20,1375,65273512,122.578
France,08-07-20,475,65273512,122.578
France,09-07-20,663,65273512,122.578
France,10-07-20,621,65273512,122.578
France,11-07-20,658,65273512,122.578
France,12-07-20,0,65273512,122.578
France,13-07-20,0,65273512,122.578
France,14-07-20,1625,65273512,122.578
France,15-07-20,0,65273512,122.578
France,16-07-20,927,65273512,122.578
France,17-07-20,534,65273512,122.578
France,18-07-20,836,65273512,122.578
France,19-07-20,0,65273512,122.578
France,20-07-20,0,65273512,122.578
France,21-07-20,2080,65273512,122.578
France,22-07-20,584,65273512,122.578
France,23-07-20,998,65273512,122.578
France,24-07-20,1062,65273512,122.578
France,25-07-20,1130,65273512,122.578
France,26-07-20,0,65273512,122.578
France,27-07-20,0,65273512,122.578
France,28-07-20,2551,65273512,122.578
France,29-07-20,725,65273512,122.578
France,30-07-20,1392,65273512,122.578
France,31-07-20,1377,65273512,122.578
France,01-08-20,1346,65273512,122.578
France,02-08-20,0,65273512,122.578
France,03-08-20,0,65273512,122.578
France,04-08-20,3376,65273512,122.578
France,05-08-20,1039,65273512,122.578
France,06-08-20,1695,65273512,122.578
France,07-08-20,1604,65273512,122.578
France,08-08-20,2288,65273512,122.578
France,09-08-20,0,65273512,122.578
France,10-08-20,0,65273512,122.578
France,11-08-20,4854,65273512,122.578
France,12-08-20,1397,65273512,122.578
France,13-08-20,2524,65273512,122.578
France,14-08-20,2669,65273512,122.578
France,15-08-20,2846,65273512,122.578
France,16-08-20,3310,65273512,122.578
France,17-08-20,3015,65273512,122.578
France,18-08-20,493,65273512,122.578
France,19-08-20,2238,65273512,122.578
France,20-08-20,3776,65273512,122.578
France,21-08-20,4771,65273512,122.578
France,22-08-20,4586,65273512,122.578
France,23-08-20,3602,65273512,122.578
France,24-08-20,4897,65273512,122.578
France,25-08-20,1955,65273512,122.578
France,26-08-20,3304,65273512,122.578
France,27-08-20,5429,65273512,122.578
France,28-08-20,6111,65273512,122.578
France,29-08-20,7379,65273512,122.578
France,30-08-20,5453,65273512,122.578
France,31-08-20,5413,65273512,122.578
France,01-09-20,3082,65273512,122.578
France,02-09-20,4982,65273512,122.578
France,03-09-20,7017,65273512,122.578
France,04-09-20,7157,65273512,122.578
France,05-09-20,8975,65273512,122.578
France,06-09-20,8550,65273512,122.578
France,07-09-20,7071,65273512,122.578
France,08-09-20,4203,65273512,122.578
France,09-09-20,6544,65273512,122.578
France,10-09-20,8577,65273512,122.578
France,11-09-20,9843,65273512,122.578
France,12-09-20,9406,65273512,122.578
France,13-09-20,10561,65273512,122.578
France,14-09-20,7183,65273512,122.578
France,15-09-20,6158,65273512,122.578
France,16-09-20,7852,65273512,122.578
France,17-09-20,9784,65273512,122.578
France,18-09-20,10593,65273512,122.578
France,19-09-20,13215,65273512,122.578
France,20-09-20,13498,65273512,122.578
France,21-09-20,11569,65273512,122.578
France,22-09-20,4298,65273512,122.578
France,23-09-20,10008,65273512,122.578
France,24-09-20,13072,65273512,122.578
France,25-09-20,16096,65273512,122.578
France,26-09-20,15797,65273512,122.578
France,27-09-20,14412,65273512,122.578
France,28-09-20,11123,65273512,122.578
France,29-09-20,4070,65273512,122.578
France,30-09-20,8051,65273512,122.578
France,01-10-20,12845,65273512,122.578
France,02-10-20,13970,65273512,122.578
France,03-10-20,12148,65273512,122.578
France,04-10-20,16972,65273512,122.578
France,05-10-20,12545,65273512,122.578
France,06-10-20,5104,65273512,122.578
France,07-10-20,10489,65273512,122.578
France,08-10-20,18746,65273512,122.578
France,09-10-20,18129,65273512,122.578
France,10-10-20,20339,65273512,122.578
France,11-10-20,26896,65273512,122.578
France,12-10-20,16101,65273512,122.578
France,13-10-20,8505,65273512,122.578
France,14-10-20,12993,65273512,122.578
France,15-10-20,22591,65273512,122.578
France,16-10-20,30621,65273512,122.578
France,17-10-20,25086,65273512,122.578
France,18-10-20,32427,65273512,122.578
France,19-10-20,29837,65273512,122.578
France,20-10-20,13243,65273512,122.578
France,21-10-20,20468,65273512,122.578
France,22-10-20,26676,65273512,122.578
France,23-10-20,41622,65273512,122.578
France,24-10-20,42032,65273512,122.578
France,25-10-20,45422,65273512,122.578
France,26-10-20,52010,65273512,122.578
France,27-10-20,26771,65273512,122.578
France,28-10-20,33417,65273512,122.578
France,29-10-20,36437,65273512,122.578
France,30-10-20,47637,65273512,122.578
France,31-10-20,49215,65273512,122.578
France,01-11-20,32641,65273512,122.578
France,02-11-20,49290,65273512,122.578
France,03-11-20,52518,65273512,122.578
France,04-11-20,36330,65273512,122.578
France,05-11-20,40558,65273512,122.578
France,06-11-20,58046,65273512,122.578
France,07-11-20,60486,65273512,122.578
France,08-11-20,86852,65273512,122.578
France,09-11-20,38619,65273512,122.578
Germany,15-03-20,733,83783945,237.016
Germany,16-03-20,1043,83783945,237.016
Germany,17-03-20,1174,83783945,237.016
Germany,18-03-20,1144,83783945,237.016
Germany,19-03-20,1042,83783945,237.016
Germany,20-03-20,5940,83783945,237.016
Germany,21-03-20,4049,83783945,237.016
Germany,22-03-20,3276,83783945,237.016
Germany,23-03-20,3311,83783945,237.016
Germany,24-03-20,4438,83783945,237.016
Germany,25-03-20,2342,83783945,237.016
Germany,26-03-20,4954,83783945,237.016
Germany,27-03-20,5780,83783945,237.016
Germany,28-03-20,6294,83783945,237.016
Germany,29-03-20,3965,83783945,237.016
Germany,30-03-20,4751,83783945,237.016
Germany,31-03-20,4615,83783945,237.016
Germany,01-04-20,5453,83783945,237.016
Germany,02-04-20,6156,83783945,237.016
Germany,03-04-20,6174,83783945,237.016
Germany,04-04-20,6082,83783945,237.016
Germany,05-04-20,5936,83783945,237.016
Germany,06-04-20,3677,83783945,237.016
Germany,07-04-20,3834,83783945,237.016
Germany,08-04-20,4003,83783945,237.016
Germany,09-04-20,4974,83783945,237.016
Germany,10-04-20,5323,83783945,237.016
Germany,11-04-20,4133,83783945,237.016
Germany,12-04-20,2821,83783945,237.016
Germany,13-04-20,2537,83783945,237.016
Germany,14-04-20,2082,83783945,237.016
